Ferrari;Ferrari 275;1950;1950
Ferrari;Ferrari 375;1950;1951
Ferrari;Ferrari 166T;1950;1950
Ferrari;Ferrari 212;1951;1952
Ferrari;Ferrari 375 Thinwall Special;1951;1951
Ferrari;Ferrari 500;1952;1957
Ferrari;Ferrari 375 Special;1952;1952
Ferrari;Ferrari 166C;1953;1953
Ferrari;Ferrari 553 Squalo;1953;1954
Ferrari;Ferrari 625;1954;1955
Ferrari;Ferrari 555 Supersqualo;1955;1956
Ferrari;Ferrari D50;1955;1957
Ferrari;Ferrari D50A;1957;1957
Ferrari;Ferrari 801;1957;1957
Ferrari;Ferrari 246;1958;1958
Ferrari;Ferrari Dino 156;1958;1959
Ferrari;Ferrari 256;1959;1960
Ferrari;Ferrari 246P;1960;1960
Ferrari;Ferrari 156P;1960;1960
Ferrari;Ferrari 156;1961;1962
Ferrari;Ferrari 156/63;1963;1963
Ferrari;Ferrari 156 Aero;1963;1964
Ferrari;Ferrari 158;1964;1965
Ferrari;Ferrari 1512;1964;1965
Ferrari;Ferrari 246T;1966;1966
Ferrari;Ferrari 312;1966;1968
Ferrari;Ferrari 312/69;1969;1969
Ferrari;Ferrari 312B;1970;1971
Ferrari;Ferrari 312B2;1971;1971
Ferrari;Ferrari 312B2;1973;1973
Ferrari;Ferrari 312B2-72;1972;1972
Ferrari;Ferrari 312B3;1973;1975
Ferrari;Ferrari 312T;1975;1976
Ferrari;Ferrari 312T2;1976;1978
Ferrari;Ferrari 312T3;1978;1979
Ferrari;Ferrari 312T4;1979;1979
Ferrari;Ferrari 312T4B;1979;1979
Ferrari;Ferrari 312T5;1980;1980
Ferrari;Ferrari 126C;1980;1980
Ferrari;Ferrari 126CK;1981;1981
Ferrari;Ferrari 126C2;1982;1982
Ferrari;Ferrari 126C2B;1983;1983
Ferrari;Ferrari 126C3;1983;1983
Ferrari;Ferrari 126C4;1984;1984
Ferrari;Ferrari 156/85;1985;1985
Ferrari;Ferrari F1-86;1986;1986
Ferrari;Ferrari F1-87;1987;1987
Ferrari;Ferrari F1-87/88C;1988;1988
Ferrari;Ferrari F1-89;1989;1989
Ferrari;Ferrari F1-90;1990;1990
Ferrari;Ferrari F1-90-2;1990;1990
Ferrari;Ferrari F1-91;1991;1991
Ferrari;Ferrari F1-91-2;1991;1991
Ferrari;Ferrari F92A;1992;1992
Ferrari;Ferrari F92AT;1992;1992
Ferrari;Ferrari F93A;1993;1993
Ferrari;Ferrari 412T1;1994;1994
Ferrari;Ferrari 412T1B;1994;1994
Ferrari;Ferrari 412T2;1995;1995
Ferrari;Ferrari F310;1996;1996
Ferrari;Ferrari F310B;1997;1997
Ferrari;Ferrari F300;1998;1998
Ferrari;Ferrari F399;1999;1999
Ferrari;Ferrari F1-2000;2000;2000
Ferrari;Ferrari F2001;2001;2002
Ferrari;Ferrari F2002;2002;2003
Ferrari;Ferrari F2003-GA;2003;2003
Ferrari;Ferrari F2004;2004;2004
Ferrari;Ferrari F2004M;2005;2005
Ferrari;Ferrari F2005;2005;2005
Ferrari;Ferrari 248 F1;2006;2006
Ferrari;Ferrari F2007;2007;2007
Ferrari;Ferrari F2008;2008;2008
Ferrari;Ferrari F60;2009;2009
Ferrari;Ferrari F10;2010;2010
Ferrari;Ferrari 150º Italia;2011;2011
Ferrari;Ferrari F2012;2012;2012
Ferrari;Ferrari F138;2013;2013
Fittipaldi;Fittipaldi FD01;1975;1975
Fittipaldi;Fittipaldi FD02;1975;1975
Fittipaldi;Fittipaldi FD03;1975;1976
Fittipaldi;Fittipaldi FD04;1976;1977
Fittipaldi;Fittipaldi F5;1977;1977
Fittipaldi;Fittipaldi F5A;1978;1979
Fittipaldi;Fittipaldi F6;1979;1979
Fittipaldi;Fittipaldi F6A;1979;1979
Fittipaldi;Fittipaldi F7;1980;1980
Fittipaldi;Fittipaldi F8;1980;1980
Fittipaldi;Fittipaldi F8C;1981;1981
Fittipaldi;Fittipaldi F8D;1982;1982
Fittipaldi;Fittipaldi F9;1982;1982
Fondmetal;Fondmetal FA1ME;1991;1991
Fondmetal;Fondmetal F1;1991;1991
Fondmetal;Fondmetal GR01;1992;1992
Fondmetal;Fondmetal GR02;1992;1992
Footwork;Footwork A11C;1991;1991
Footwork;Footwork FA12;1991;1991
Footwork;Footwork FA12C;1991;1991
Footwork;Footwork FA13;1992;1992
Footwork;Footwork FA13B;1993;1993
Footwork;Footwork FA14;1993;1993
Footwork;Footwork FA15;1994;1994
Footwork;Footwork FA16;1995;1995
Footwork;Footwork FA17;1996;1996
Force India;Force India VJM-01;2008;2008
Force India;Force India VJM-02;2009;2009
Force India;Force India VJM03;2010;2010
Force India;Force India VJM04;2011;2011
Force India;Force India VJM05;2012;2012
Force India;Force India VJM06;2013;2013
Forti;Forti FG01;1995;1995
Forti;Forti FG01B;1996;1996
Forti;Forti FG03;1996;1996
Frazer-Nash;Frazer-Nash FN48;1952;1952
Frazer-Nash;Frazer-Nash 421;1952;1952
Fry;Fry F2;1959;1959
Gilby;Gilby 1961;1961;1961
Gilby;Gilby 1962;1962;1963
Gilby;Gilby;1963;1963
Gordini;Gordini T16;1952;1956
Gordini;Gordini T32;1955;1956
Greifzu;Greifzu BMW Eigenbau;1952;1952
Hall (Indy only);Hall;1951;1951
Heck;Heck BMW Eigenbau;1952;1953
Hesketh;Hesketh 308;1974;1974
Hesketh;Hesketh 308B;1975;1975
Hesketh;Hesketh 308C;1975;1975
Hesketh;Hesketh 308D;1976;1976
Hesketh;Hesketh 308E;1977;1978
Hill;Hill GH1;1975;1975
Hispania;Hispania F110;2010;2010
