Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
DRIVER_NUMBER,BC11B12F-B4A1-1312-C707-9853F3621E51,161,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,SMALLINT,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
EAM_ID,219F364D-D5A9-FCF3-6B4D-41E4F743FCC8,162,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,12,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
ENGINE_ID,38EA0E9F-0DC0-505E-27E7-E6D033E10270,163,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_ENGINE,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
ENGINE_ID,D4CA2D07-FD48-0CB6-0EEC-569C71F91D31,164,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,15,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
ERA,21340F3A-61A9-AFAC-1134-0470CA529439,165,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_SEASON,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
FASTEST_LAP_TIME,C443A30A-914D-95A4-676C-EDDAB236D2BA,166,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,F463B71D-791B-D518-B9D2-8B83F473EA0C,40,LOGDT015,104,,,,,,,,,Y,Time,Timestamp,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,TIMESTAMP,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
FINISH_TIME,CD9FFF85-5D09-0EE0-73AE-EA9E6536B6AD,167,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,F463B71D-791B-D518-B9D2-8B83F473EA0C,40,LOGDT015,104,,,,,,,,,Y,Time,Timestamp,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,TIMESTAMP,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
FULL_NAME,4BECA86A-486B-A197-C913-99208EE70126,168,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_DRIVER,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
FULL_NAME,D587AF79-5DB4-ADE6-8853-1B5A59360808,169,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Y,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_TEAM,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
GRAND_PRIX_ID,1C89BF47-9E04-7554-E672-090C16E297F0,170,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_GRAND_PRIX,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
